orbit,dv_ground_km_s,dv_leo_to_orbit_km_s,dv_ratio_vs_leo,cost_per_kg_base,cost_per_kg_optimistic,cost_per_kg_conservative,launch_1mw_base_M,launch_1mw_range,station_keeping_m_s_yr,sk_extra_10yr_M,total_1mw_10yr_base_M,cost_multiplier_vs_leo
LEO (SSO 600km),9.4,0.0,1.0,150.0,100.0,200.0,3.0,$2.0M - $4.0M,0.0,0.0,3.0,1.0
"MEO (~20,200 km)",12.3,3.6,1.309,196.6,131.0,262.1,3.9,$2.6M - $5.2M,0.0,0.0,3.9,1.31
"GEO (~35,786 km)",14.0,3.9,1.489,230.5,153.6,307.3,4.6,$3.1M - $6.1M,1.0,0.02,4.6,1.54
HEO (Molniya),14.5,5.1,1.543,240.7,160.5,321.0,4.8,$3.2M - $6.4M,0.0,0.0,4.8,1.6
地日 L1,12.7,3.3,1.351,204.4,136.3,272.5,4.1,$2.7M - $5.5M,3.0,0.04,4.1,1.36
地日 L2,12.7,3.3,1.351,204.4,136.3,272.5,4.1,$2.7M - $5.5M,3.0,0.04,4.1,1.36
地月 L4/L5,13.1,3.7,1.394,212.3,141.5,283.1,4.2,$2.8M - $5.7M,0.5,0.01,4.3,1.42
地月 L1,12.8,3.4,1.362,206.4,137.6,275.1,4.1,$2.8M - $5.5M,66.0,1.04,5.2,1.38
地月 L2,13.0,3.6,1.383,210.3,140.2,280.4,4.2,$2.8M - $5.6M,28.0,0.42,4.6,1.4
